id,sales
3000888,3.815462
3000889,0.045933127
3000890,5.5028377
3000891,2200.5134
3000892,0.20417154
3000893,419.6824
3000894,11.79604
3000895,745.6025
3000896,874.5972
3000897,188.39694
3000898,150.334
3000899,119.62539
3000900,3143.561
3000901,26.181522
3000902,1.8180697
3000903,20.717012
3000904,38.713673
3000905,0.58482575
3000906,196.65834
3000907,13.839083
3000908,38.288734
3000909,16.631395
3000910,90.295456
3000911,5.605039
3000912,283.4489
3000913,268.95276
3000914,4.7854886
3000915,7.004711
3000916,335.64142
3000917,69.17648
3000918,3603.0469
3000919,26.871689
3000920,23.691065
3000921,1.0862646
3000922,-0.14643288
3000923,2.3134978
3000924,1240.4773
3000925,-0.19176608
3000926,129.64705
3000927,2.0487132
3000928,572.1108
3000929,439.686
3000930,246.77824
3000931,31.871952
3000932,22.600039
3000933,2390.4553
3000934,4.415059
3000935,-0.058729053
3000936,7.7204304
3000937,24.482756
3000938,-0.13158125
3000939,165.32228
3000940,1.936676
3000941,6.9169717
3000942,6.4301324
3000943,37.9656
3000944,0.36092627
3000945,102.65499
3000946,227.5378
3000947,0.41717696
3000948,2.4930193
3000949,115.94102
3000950,21.73731
3000951,569.20764
3000952,23.2766
3000953,0.8213805
3000954,5.8093524
3000955,0.2835163
3000956,4.7182536
3000957,4099.561
3000958,0.033756018
3000959,624.4929
3000960,9.045853
3000961,1479.7273
3000962,762.45013
3000963,515.6943
3000964,127.88318
3000965,71.082825
3000966,6501.367
3000967,22.834057
3000968,0.4763509
3000969,23.093225
3000970,43.244633
3000971,0.047812104
3000972,390.73712
3000973,10.361296
3000974,21.21073
3000975,10.730969
3000976,86.76927
3000977,2.3780427
3000978,549.1412
3000979,508.51895
3000980,2.111937
3000981,12.783523
3000982,331.58035
3000983,84.09071
3000984,2286.3438
3000985,71.48661
3000986,5.923268
3000987,3.2262874
3000988,-0.0055692196
3000989,2.669802
3000990,1511.2377
3000991,-0.006955385
3000992,176.2207
3000993,5.6533313
3000994,771.79504
3000995,480.73508
3000996,265.52518
3000997,48.660034
3000998,37.35627
3000999,2929.624
3001000,10.9575405
3001001,0.5134394
3001002,12.031058
3001003,27.845243
3001004,0.32206488
3001005,177.68724
3001006,4.1945806
3001007,7.544779
3001008,11.484873
3001009,54.625088
3001010,1.1287677
3001011,152.57129
3001012,202.93114
3001013,0.7845832
3001014,4.6001773
3001015,127.40892
3001016,31.32582
3001017,695.54584
3001018,29.062334
3001019,2.1318061
3001020,3.1497335
3001021,0.09385979
3001022,4.0262017
3001023,1403.2661
3001024,-0.09108645
3001025,146.62126
3001026,3.7595778
3001027,622.287
3001028,379.77887
3001029,205.63492
3001030,34.8247
3001031,27.273512
3001032,2550.5935
3001033,8.274001
3001034,-0.00015956163
3001035,8.423671
3001036,21.064556
3001037,-0.16055787
3001038,125.96382
3001039,1.6168761
3001040,6.2524166
3001041,5.8392897
3001042,46.024033
3001043,0.6152582
3001044,117.21887
3001045,217.9372
3001046,0.24324894
3001047,2.887223
3001048,79.806656
3001049,20.365955
3001050,493.98895
3001051,21.539568
3001052,1.1916356
3001053,2.8077903
3001054,0.019311786
3001055,3.5896568
3001056,1438.5272
3001057,-0.027190208
3001058,182.72954
3001059,5.491407
3001060,974.26013
3001061,509.42966
3001062,288.606
3001063,33.732838
3001064,33.122215
3001065,2989.7446
3001066,11.508402
3001067,0.327479
3001068,11.542129
3001069,41.319633
3001070,0.16132164
3001071,194.3916
3001072,0.7705902
3001073,8.880029
3001074,8.496261
3001075,54.287724
3001076,1.2460332
3001077,210.14745
3001078,279.85175
3001079,0.79715025
3001080,3.4694757
3001081,73.81313
3001082,70.45826
3001083,847.6821
3001084,30.117203
3001085,1.5827627
3001086,2.8405328
3001087,0.6833421
3001088,4.843064
3001089,1673.0494
3001090,0.016617417
3001091,170.67705
3001092,1.6453469
3001093,786.28815
3001094,503.51474
3001095,298.01602
3001096,64.27744
3001097,50.10348
3001098,3111.4907
3001099,8.212812
3001100,0.48427677
3001101,12.172282
3001102,33.116768
3001103,0.1849966
3001104,216.6281
3001105,6.609317
3001106,6.8449707
3001107,10.709926
3001108,35.8177
3001109,1.1335566
3001110,127.5551
3001111,210.08774
3001112,0.59036076
3001113,4.142639
3001114,102.868484
3001115,36.85182
3001116,1328.9719
3001117,28.34997
3001118,2.5644875
3001119,3.2290244
3001120,-0.018520236
3001121,1.8048055
3001122,1192.2744
3001123,-0.035443008
3001124,145.78862
3001125,3.3009357
3001126,733.21265
3001127,310.7251
3001128,184.23146
3001129,97.959366
3001130,28.269835
3001131,1992.8374
3001132,5.2855635
3001133,0.19209683
3001134,9.40261
3001135,23.638403
3001136,0.09719932
3001137,142.84436
3001138,-0.104910314
3001139,7.4499416
3001140,9.753275
3001141,40.95916
3001142,0.49564028
3001143,52.16424
3001144,161.82068
3001145,0.32970965
3001146,2.1300542
3001147,57.98428
3001148,32.741528
3001149,1052.8733
3001150,21.054657
3001151,0.38008642
3001152,5.4770136
3001153,0.4029516
3001154,3.84172
3001155,2719.9197
3001156,0.10857105
3001157,315.98785
3001158,4.4577823
3001159,941.3689
3001160,826.17804
3001161,508.92368
3001162,145.9844
3001163,84.01436
3001164,4168.4116
3001165,13.722857
3001166,0.8867378
3001167,15.99214
3001168,41.696217
3001169,0.23211432
3001170,262.74423
3001171,0.4417088
3001172,8.464804
3001173,11.625998
3001174,70.00885
3001175,1.7603462
3001176,205.11287
3001177,288.1618
3001178,1.3952386
3001179,5.4866986
3001180,251.56909
3001181,51.870934
3001182,2104.8208
3001183,38.50475
3001184,7.2463665
3001185,2.8326962
3001186,0.071977735
3001187,3.9339576
3001188,1950.7893
3001189,-0.0011923313
3001190,481.8887
3001191,4.9846773
3001192,535.554
3001193,665.30725
3001194,235.64627
3001195,114.749794
3001196,53.643154
3001197,2804.027
3001198,9.481566
3001199,0.50800383
3001200,15.917295
3001201,25.286158
3001202,0.12114906
3001203,181.76277
3001204,7.0418825
3001205,18.502714
3001206,10.595985
3001207,69.463585
3001208,1.3726783
3001209,94.56315
3001210,230.46979
3001211,2.7764275
3001212,4.0789394
3001213,156.95169
3001214,56.990677
3001215,2815.7134
3001216,52.571262
3001217,6.565912
3001218,4.607316
3001219,0.30740488
3001220,3.4195466
3001221,2006.2612
3001222,-0.027159393
3001223,169.01062
3001224,4.0038705
3001225,720.0136
3001226,420.2515
3001227,276.95932
3001228,47.734097
3001229,37.800865
3001230,2906.1826
3001231,20.91137
3001232,0.6414633
3001233,10.953882
3001234,23.366924
3001235,0.01080513
3001236,135.78935
3001237,3.9195356
3001238,5.513038
3001239,7.1271467
3001240,42.692318
3001241,1.2435808
3001242,114.00971
3001243,157.8721
3001244,0.42150426
3001245,3.237277
3001246,99.04102
3001247,23.431784
3001248,834.9609
3001249,18.858057
3001250,1.6835251
3001251,3.9049978
3001252,0.057955384
3001253,6.203674
3001254,2576.9214
3001255,0.06873202
3001256,499.34323
3001257,10.472932
3001258,891.4581
3001259,959.752
3001260,233.29291
3001261,145.78844
3001262,115.65919
3001263,3689.0706
3001264,26.852676
3001265,1.1365976
3001266,16.64828
3001267,38.469128
3001268,0.24440849
3001269,240.9488
3001270,17.606953
3001271,36.166565
3001272,13.887234
3001273,90.50732
3001274,5.74019
3001275,290.92044
3001276,361.50635
3001277,5.9987884
3001278,8.555045
3001279,408.79395
3001280,83.51063
3001281,3779.097
3001282,27.25948
3001283,25.961676
3001284,5.6514993
3001285,0.02951324
3001286,3.9656572
3001287,2777.7756
3001288,-0.1850686
3001289,433.8231
3001290,5.177073
3001291,937.7347
3001292,792.32904
3001293,478.24622
3001294,90.02256
3001295,55.207565
3001296,4175.643
3001297,10.224653
3001298,0.37465942
3001299,15.219881
3001300,37.555126
3001301,-0.20246512
3001302,237.67787
3001303,2.8586278
3001304,18.742828
3001305,12.556868
3001306,76.36914
3001307,0.8459494
3001308,180.2226
3001309,379.7832
3001310,2.44108
3001311,3.2638154
3001312,190.97647
3001313,51.019344
3001314,1751.1115
3001315,35.059418
3001316,5.803228
3001317,7.9283276
3001318,0.40903878
3001319,5.206096
3001320,2391.1748
3001321,0.025400043
3001322,392.0081
